mean_validation_error,mean_training_error,mean_validation_error_reg,mean_training_error_reg,seme,Numero di neuroni N,rho,sigma
0.0001441299658138649,4.9778980810143525e-06,0.00022412883577681286,8.497676804396229e-05,100,70,1e-05,7.0
0.0005371977433409407,5.334293277391382e-06,0.0006180451118872194,8.618166182367023e-05,100,70,1e-05,7.5
0.0003883998874072735,4.557485147891406e-06,0.00046598107058038265,8.213866832100053e-05,100,70,1e-05,8.0
0.00033047958202583156,5.11456097540928e-06,0.000402366192193825,7.700117114340276e-05,100,70,1e-05,8.5
0.00032551295126884866,6.009073981571393e-06,0.00039778431423804995,7.82804369507727e-05,100,70,1e-05,9.0
0.011311505460882321,0.0060190881098029884,0.045769903249432475,0.04047748589835315,100,80,0.001,1.0
0.006452839207109979,0.00312138498477492,0.029814922097782963,0.026483467875447902,100,80,0.001,1.5
0.004710513327600474,0.0021449152166644666,0.022288043734567164,0.019722445623631155,100,80,0.001,2.0
0.003902513989713797,0.0015395886243862234,0.018254046387921476,0.015891121022593904,100,80,0.001,2.5
0.0031126993851372806,0.001065075106446913,0.015351757737651881,0.013304133458961514,100,80,0.001,3.0
0.002450830886989242,0.0007364812660439746,0.01305464009193375,0.011340290470988484,100,80,0.001,3.5
0.002156481870095606,0.0005915137883318522,0.011483046919077547,0.009918078837313793,100,80,0.001,4.0
0.0017626704732119198,0.0004893720961149494,0.010047673867635968,0.008774375490539,100,80,0.001,4.5
0.0015524049966549093,0.0004135702931184166,0.009034145906870959,0.007895311203334468,100,80,0.001,5.0
0.001538459733055271,0.00035687459119295887,0.008365032724236013,0.0071834475823737,100,80,0.001,5.5
0.0014031853074310363,0.00030256784472504106,0.007701181333939916,0.006600563871233922,100,80,0.001,6.0
0.0013419067919303266,0.00025634721414171627,0.00718597057656928,0.006100410998780669,100,80,0.001,6.5
0.001262086387798351,0.0002276435139662347,0.006701344983712647,0.0056669021098805315,100,80,0.001,7.0
0.0012740122221884254,0.00019634660243404004,0.006368332400179044,0.005290666780424659,100,80,0.001,7.5
0.0011248910255803456,0.00017531908218163108,0.005901256653215436,0.004951684709816722,100,80,0.001,8.0
0.001110871781756428,0.00016199807958491822,0.005606927840461931,0.004658054138290421,100,80,0.001,8.5
0.0009223937059486566,0.00015007294180521282,0.005177486325874049,0.004405165561730606,100,80,0.001,9.0
0.0015557787328503443,0.0004202522081539823,0.0064402358001780565,0.005304709275481696,100,80,0.0001,1.0
0.0009147638748364139,0.00020835345552599197,0.004076080816247609,0.003369670396937187,100,80,0.0001,1.5
0.0006894196014380711,0.00011470360092912692,0.0029547246569108366,0.0023800086564018928,100,80,0.0001,2.0
0.0006134790577912179,8.500345246178994e-05,0.0024096493881171337,0.001881173782787706,100,80,0.0001,2.5
0.00042192854234063693,5.886858470170767e-05,0.0018927759222135284,0.0015297159645745995,100,80,0.0001,3.0
0.00028684061094784864,4.4989352373454945e-05,0.001533605615748776,0.0012917543571743825,100,80,0.0001,3.5
0.0002663190435380563,3.759476449342987e-05,0.0013495971224492622,0.0011208728434046358,100,80,0.0001,4.0
0.00034052322127115636,3.235622179565104e-05,0.0012968696148917365,0.0009887026154162314,100,80,0.0001,4.5
0.0003658813846075508,3.107398144917556e-05,0.0012133737167469361,0.0008785663135885607,100,80,0.0001,5.0
0.000288584417954511,2.5294462948178865e-05,0.0010611559093101604,0.0007978659543038284,100,80,0.0001,5.5
